Order_ID,Order_Date,Warehouse_ID,Product_ID,Product_Category,Units_Ordered,Unit_Cost,Total_sales,Transport_Mode,Distance_km,Delivery_Time_days,Stock_Availability,Delivery_Status
O12360,2023-08-01,WH-004,P50179,Automotive,40,389.15,15566.0,Sea,1565,5,No,Cancelled
O12361,2023-11-30,WH-009,P11696,Automotive,47,130.91,6152.7699999999995,Air,1377,8,No,Cancelled
O12362,2023-06-05,WH-004,P85652,Groceries,24,340.66,8175.84,Road,1692,15,Yes,Delayed
O12363,2023-10-03,WH-010,P58568,Apparel,46,59.01,2714.46,Road,1512,9,Yes,Cancelled
O12364,2023-06-12,WH-001,P95223,Toys,22,207.66,4568.5199999999995,Rail,351,8,No,On-Time
O12365,2023-05-10,WH-009,P20759,Automotive,4,398.8,1595.2,Rail,1224,4,Yes,Cancelled
O12366,2023-05-04,WH-008,P59480,Toys,16,140.26,2244.16,Air,922,13,Yes,On-Time
O12367,2023-10-22,WH-002,P54097,Toys,34,410.03,13941.019999999999,Rail,1806,7,Yes,On-Time
O12368,2023-01-31,WH-003,P27663,Toys,11,60.11,661.21,Air,925,15,No,Delayed
O12369,2023-12-10,WH-001,P94688,Automotive,34,318.04,10813.36,Road,986,10,No,Cancelled
O12370,2023-05-16,WH-003,P70427,Furniture,39,403.77,15747.029999999999,Sea,422,7,No,Delayed
O12371,2023-12-03,WH-010,P65647,Apparel,44,127.67,5617.4800000000005,Rail,1091,14,No,Cancelled
O12372,2023-11-03,WH-001,P16549,Automotive,39,7.72,301.08,Air,1980,10,Yes,Delayed
O12373,2023-10-26,WH-005,P97508,Automotive,20,284.72,5694.400000000001,Rail,1430,7,No,Delayed
O12374,2023-10-03,WH-003,P16964,Automotive,48,461.69,22161.12,Air,1533,11,No,Delayed
O12375,2023-02-11,WH-004,P26448,Apparel,32,423.7,13558.4,Sea,1678,2,No,Cancelled
O12376,2023-10-15,WH-005,P91303,Toys,16,430.64,6890.24,Road,1176,2,Yes,On-Time
O12377,2023-10-12,WH-007,P69638,Automotive,22,162.07,3565.54,Sea,81,3,No,On-Time
O12378,2023-08-22,WH-007,P19537,Automotive,23,173.47,3989.81,Air,1945,9,No,Cancelled
O12379,2023-04-06,WH-001,P27467,Groceries,38,65.22,2478.36,Rail,857,7,No,On-Time
O12380,2023-12-15,WH-010,P47329,Groceries,35,456.43,15975.050000000001,Sea,292,1,Yes,Delayed
O12381,2023-07-10,WH-003,P49808,Electronics,4,458.24,1832.96,Rail,1897,4,No,On-Time
O12382,2023-07-17,WH-008,P75275,Automotive,4,234.41,937.64,Air,1316,11,No,On-Time
O12383,2023-04-18,WH-005,P57392,Apparel,34,88.08,2994.72,Rail,736,5,Yes,On-Time
O12384,2023-10-11,WH-004,P82615,Groceries,23,332.25,7641.75,Rail,1360,12,Yes,Delayed
O12385,2023-01-27,WH-003,P20539,Automotive,12,98.68,1184.16,Air,1250,5,Yes,Cancelled
O12386,2023-05-20,WH-003,P42784,Toys,22,285.1,6272.200000000001,Air,1104,14,No,Cancelled
O12387,2023-07-17,WH-007,P87612,Toys,29,364.32,10565.28,Air,503,3,No,On-Time
O12388,2023-04-14,WH-006,P61405,Automotive,6,181.32,1087.92,Road,322,10,No,On-Time
O12389,2023-06-11,WH-003,P79351,Furniture,39,19.93,777.27,Sea,701,9,Yes,Delayed
O12390,2023-12-23,WH-004,P91692,Apparel,1,176.42,176.42,Rail,690,3,Yes,On-Time
O12391,2023-03-07,WH-006,P95155,Furniture,15,314.73,4720.950000000001,Sea,85,14,Yes,Delayed
O12392,2023-05-03,WH-009,P32355,Furniture,24,181.93,4366.32,Sea,1542,11,Yes,Cancelled
O12393,2023-04-29,WH-008,P97044,Groceries,40,7.39,295.59999999999997,Rail,77,6,No,Delayed
O12394,2023-07-20,WH-010,P53287,Electronics,43,19.87,854.4100000000001,Road,645,10,No,On-Time
O12395,2023-06-08,WH-008,P94205,Toys,11,261.88,2880.68,Road,1563,7,Yes,Delayed
O12396,2023-11-06,WH-009,P22177,Apparel,16,151.93,2430.88,Air,298,12,No,Cancelled
O12397,2023-09-30,WH-010,P45234,Toys,18,487.63,8777.34,Rail,1061,6,No,On-Time
O12398,2023-02-15,WH-009,P28184,Toys,3,451.61,1354.83,Air,1336,8,Yes,On-Time
O12399,2023-06-12,WH-007,P36414,Toys,39,387.66,15118.740000000002,Air,331,6,No,Cancelled
O12400,2023-05-23,WH-001,P39743,Electronics,41,70.67,2897.4700000000003,Sea,1764,11,Yes,Cancelled
O12401,2023-05-15,WH-009,P91683,Electronics,25,265.33,6633.25,Rail,1593,3,Yes,On-Time
O12402,2023-11-14,WH-005,P39365,Electronics,40,459.72,18388.800000000003,Rail,1921,13,No,Cancelled
O12403,2023-11-24,WH-009,P97549,Groceries,22,63.24,1391.28,Sea,538,6,Yes,Delayed
O12404,2023-01-21,WH-004,P22703,Groceries,3,171.22,513.66,Road,521,7,Yes,Cancelled
O12405,2023-03-20,WH-005,P98147,Toys,5,371.65,1858.25,Sea,278,9,No,On-Time
O12406,2024-01-01,WH-007,P66951,Toys,15,485.08,7276.2,Air,1451,14,No,Cancelled
O12407,2023-01-25,WH-002,P23467,Electronics,23,273.68,6294.64,Sea,1831,5,Yes,Cancelled
O12408,2023-11-04,WH-003,P21348,Groceries,30,144.35,4330.5,Air,1352,12,No,Cancelled
O12409,2023-01-27,WH-010,P68939,Groceries,32,470.81,15065.92,Sea,1807,3,No,On-Time
O12410,2023-01-27,WH-004,P54842,Electronics,45,117.75,5298.75,Rail,1422,4,No,Delayed
O12411,2023-09-14,WH-008,P78773,Furniture,13,329.9,4288.7,Air,1629,11,No,Delayed
O12412,2023-07-13,WH-005,P98145,Toys,17,462.91,7869.47,Rail,275,11,No,Cancelled
O12413,2023-03-07,WH-010,P67836,Groceries,18,318.62,5735.16,Rail,1049,14,No,On-Time
O12414,2023-03-19,WH-003,P27781,Toys,19,312.66,5940.540000000001,Road,1267,14,No,On-Time
O12415,2023-01-09,WH-005,P14515,Groceries,26,316.22,8221.720000000001,Rail,1694,11,Yes,Cancelled
O12416,2023-09-06,WH-004,P76140,Groceries,4,491.66,1966.64,Road,348,6,Yes,Cancelled
O12417,2023-12-19,WH-005,P76968,Apparel,41,212.39,8707.99,Sea,545,6,No,On-Time
O12418,2023-02-24,WH-009,P17083,Furniture,16,470.54,7528.64,Rail,990,8,Yes,On-Time
O12419,2023-02-04,WH-006,P66768,Electronics,19,48.11,914.09,Road,88,15,Yes,Delayed
O12420,2023-03-23,WH-009,P94605,Toys,46,420.31,19334.26,Air,1132,5,Yes,Delayed
O12421,2023-09-24,WH-003,P47895,Groceries,46,428.26,19699.96,Sea,475,5,No,On-Time
O12422,2023-02-01,WH-008,P75237,Apparel,34,391.44,13308.96,Rail,1872,9,Yes,On-Time
O12423,2023-04-29,WH-009,P60015,Groceries,32,157.31,5033.92,Road,420,14,Yes,Delayed
O12424,2023-10-13,WH-005,P49027,Toys,3,136.35,409.04999999999995,Sea,1622,4,No,On-Time
O12425,2023-10-18,WH-006,P88815,Furniture,25,357.36,8934.0,Rail,1993,10,Yes,On-Time
O12426,2023-06-17,WH-005,P28539,Apparel,26,459.09,11936.34,Road,1779,12,Yes,Delayed
O12427,2023-11-16,WH-001,P47684,Electronics,3,196.01,588.03,Rail,1357,9,Yes,Cancelled
O12428,2023-06-03,WH-006,P60986,Groceries,48,348.6,16732.800000000003,Sea,121,15,No,On-Time
O12429,2023-01-02,WH-006,P60293,Electronics,39,95.17,3711.63,Road,1604,15,Yes,Delayed
O12430,2023-01-10,WH-007,P78447,Groceries,41,152.28,6243.4800000000005,Rail,1121,7,Yes,Cancelled
O12431,2023-09-21,WH-008,P30226,Electronics,33,195.4,6448.2,Rail,1709,2,No,On-Time
O12432,2023-08-18,WH-003,P45686,Electronics,7,279.01,1953.07,Air,423,2,Yes,Delayed
O12433,2023-04-15,WH-009,P49405,Electronics,2,357.77,715.54,Air,1472,11,No,Cancelled
O12434,2023-08-27,WH-005,P58565,Automotive,36,93.72,3373.92,Road,1589,10,Yes,On-Time
O12435,2023-04-25,WH-006,P16096,Apparel,2,239.74,479.48,Sea,1213,9,Yes,Delayed
O12436,2023-09-01,WH-004,P99438,Apparel,38,262.38,9970.44,Road,837,15,No,Cancelled
O12437,2023-06-12,WH-004,P71088,Toys,5,174.51,872.55,Rail,617,13,No,Cancelled
O12438,2023-11-04,WH-004,P59648,Apparel,36,119.94,4317.84,Road,920,13,No,Cancelled
O12439,2023-07-03,WH-003,P39255,Electronics,24,355.91,8541.84,Rail,1955,13,No,Cancelled
O12440,2023-12-18,WH-005,P86667,Automotive,34,287.75,9783.5,Road,787,9,Yes,On-Time
O12441,2023-06-02,WH-006,P96084,Automotive,43,401.22,17252.460000000003,Sea,940,5,No,Cancelled
O12442,2023-08-16,WH-002,P92815,Apparel,4,179.28,717.12,Rail,407,10,Yes,Delayed
O12443,2023-07-25,WH-009,P23815,Electronics,36,373.79,13456.44,Sea,1707,11,Yes,Delayed
O12444,2023-10-23,WH-002,P36623,Groceries,40,14.05,562.0,Road,622,14,Yes,Cancelled
O12445,2023-06-24,WH-010,P36579,Automotive,15,21.5,322.5,Air,139,2,No,On-Time
O12446,2023-01-01,WH-009,P43133,Groceries,35,438.29,15340.150000000001,Rail,1181,2,No,Cancelled
O12447,2023-10-22,WH-009,P55603,Furniture,46,149.35,6870.099999999999,Sea,1015,9,Yes,On-Time
O12448,2023-10-15,WH-007,P90729,Electronics,29,317.77,9215.33,Air,1557,9,No,Delayed
O12449,2023-11-11,WH-008,P78150,Toys,28,144.06,4033.6800000000003,Air,1757,1,Yes,On-Time
O12450,2023-09-03,WH-005,P39500,Electronics,41,141.87,5816.67,Sea,659,2,Yes,Cancelled
O12451,2023-02-25,WH-009,P72840,Apparel,2,29.06,58.12,Rail,834,3,Yes,Delayed
O12452,2023-04-04,WH-009,P72753,Apparel,42,153.85,6461.7,Rail,1873,13,Yes,Cancelled
O12453,2023-09-25,WH-005,P68441,Apparel,14,403.99,5655.860000000001,Air,109,1,Yes,Cancelled
O12454,2023-04-05,WH-003,P78658,Apparel,45,437.45,19685.25,Sea,1655,2,Yes,Delayed
O12455,2023-01-19,WH-004,P42577,Apparel,25,201.71,5042.75,Air,140,15,No,Delayed
O12456,2023-09-01,WH-003,P80604,Automotive,39,41.57,1621.23,Road,1017,1,Yes,On-Time
O12457,2023-02-26,WH-005,P34732,Apparel,10,304.07,3040.7,Road,732,15,No,On-Time
O12458,2023-12-17,WH-005,P77980,Furniture,49,58.88,2885.1200000000003,Sea,1444,13,Yes,Delayed
O12459,2023-01-01,WH-008,P37412,Automotive,21,162.13,3404.73,Rail,455,10,No,On-Time
O12460,2023-08-23,WH-005,P39135,Apparel,48,146.77,7044.960000000001,Rail,915,13,No,Delayed
O12461,2023-06-01,WH-008,P21463,Automotive,20,346.5,6930.0,Sea,259,10,No,On-Time
O12462,2023-11-26,WH-010,P40367,Toys,45,339.5,15277.5,Rail,1614,7,Yes,On-Time
O12463,2023-01-01,WH-006,P96159,Electronics,15,9.77,146.54999999999998,Road,1003,8,No,On-Time
O12464,2023-12-24,WH-003,P38851,Automotive,23,140.88,3240.24,Road,1418,6,No,On-Time
O12465,2023-10-07,WH-003,P82981,Furniture,14,350.15,4902.099999999999,Sea,483,13,No,Delayed
O12466,2023-05-05,WH-007,P92301,Groceries,19,154.99,2944.8100000000004,Air,1675,13,Yes,Delayed
O12467,2023-08-02,WH-004,P40787,Groceries,27,336.93,9097.11,Sea,99,14,Yes,Cancelled
O12468,2023-07-09,WH-002,P43456,Apparel,18,373.46,6722.28,Air,396,2,Yes,Delayed
O12469,2023-12-19,WH-004,P78363,Groceries,9,223.5,2011.5,Air,644,8,No,Cancelled
O12470,2023-07-26,WH-009,P52772,Toys,31,158.1,4901.099999999999,Air,410,6,Yes,Cancelled
O12471,2023-05-25,WH-002,P52936,Automotive,11,419.27,4611.969999999999,Sea,1247,15,Yes,On-Time
O12472,2023-02-27,WH-005,P42712,Apparel,22,456.3,10038.6,Road,912,4,Yes,Delayed
O12473,2023-10-29,WH-002,P98740,Groceries,15,154.0,2310.0,Air,1187,7,No,On-Time
O12474,2023-06-25,WH-007,P14874,Apparel,48,324.07,15555.36,Road,1166,1,Yes,Cancelled
O12475,2023-03-18,WH-004,P19882,Groceries,8,11.31,90.48,Road,1748,6,No,On-Time
O12476,2023-07-17,WH-004,P61402,Toys,17,298.21,5069.57,Road,1745,1,No,On-Time
O12477,2023-02-14,WH-005,P35419,Toys,15,351.44,5271.6,Road,1007,9,No,Cancelled
O12478,2023-03-02,WH-003,P18604,Groceries,26,145.67,3787.4199999999996,Road,313,9,No,Delayed
O12479,2023-05-02,WH-002,P39550,Apparel,48,327.83,15735.84,Rail,1942,12,No,On-Time
O12480,2023-02-28,WH-007,P64565,Groceries,14,92.83,1299.62,Air,1627,13,Yes,On-Time
O12481,2023-02-22,WH-007,P94787,Apparel,18,397.0,7146.0,Rail,973,2,Yes,On-Time
O12482,2023-10-06,WH-004,P57651,Furniture,27,160.09,4322.43,Road,620,1,Yes,Delayed
O12483,2023-09-06,WH-005,P38596,Toys,15,141.22,2118.3,Road,1393,14,No,On-Time
O12484,2023-07-25,WH-008,P63535,Furniture,11,488.66,5375.26,Road,677,13,No,On-Time
O12485,2023-06-10,WH-007,P49698,Automotive,43,62.71,2696.53,Sea,606,11,Yes,Delayed
O12486,2023-08-08,WH-009,P82712,Automotive,49,300.32,14715.68,Sea,1604,12,No,Cancelled
O12487,2023-11-02,WH-010,P26148,Automotive,49,198.19,9711.31,Sea,887,10,No,Cancelled
O12488,2023-06-23,WH-007,P51604,Groceries,30,340.84,10225.199999999999,Road,912,15,Yes,Delayed
O12489,2023-03-29,WH-008,P43631,Furniture,4,108.76,435.04,Air,1191,10,No,On-Time
O12490,2023-04-15,WH-009,P58688,Groceries,22,52.3,1150.6,Air,1264,6,Yes,Cancelled
O12491,2023-04-05,WH-006,P17030,Apparel,17,163.71,2783.07,Rail,349,2,Yes,Cancelled
O12492,2023-10-12,WH-001,P78808,Groceries,9,209.51,1885.59,Air,1595,4,Yes,Delayed
O12493,2023-07-04,WH-003,P61218,Automotive,11,468.15,5149.65,Sea,763,12,No,Cancelled
O12494,2023-05-05,WH-005,P20874,Electronics,26,315.38,8199.88,Air,1993,10,No,On-Time
O12495,2023-09-06,WH-008,P59231,Apparel,24,188.05,4513.200000000001,Air,917,13,Yes,On-Time
O12496,2023-05-14,WH-003,P39858,Automotive,22,73.26,1611.72,Sea,1743,3,No,Delayed
O12497,2023-11-09,WH-001,P76870,Apparel,5,396.15,1980.75,Air,718,6,No,Cancelled
O12498,2023-04-10,WH-003,P43332,Apparel,43,92.58,3980.94,Rail,929,13,Yes,On-Time
O12499,2023-02-26,WH-009,P40289,Automotive,23,330.57,7603.11,Sea,1022,14,Yes,Delayed
O12500,2023-08-31,WH-001,P34396,Apparel,19,452.38,8595.22,Sea,904,11,No,On-Time
O12501,2023-09-13,WH-010,P53005,Apparel,2,346.53,693.06,Rail,1751,9,Yes,Delayed
O12502,2023-02-09,WH-002,P90283,Groceries,9,448.65,4037.85,Road,1837,4,No,Cancelled
O12503,2023-11-13,WH-006,P44743,Toys,35,46.87,1640.4499999999998,Air,1756,13,Yes,Delayed
O12504,2023-04-21,WH-005,P51440,Toys,50,469.18,23459.0,Rail,1096,14,No,On-Time
O12505,2023-02-01,WH-002,P87137,Automotive,45,483.94,21777.3,Rail,967,6,No,Cancelled
O12506,2023-12-20,WH-001,P64228,Apparel,42,78.43,3294.0600000000004,Road,1349,15,No,Cancelled
O12507,2023-09-16,WH-007,P25265,Electronics,50,348.94,17447.0,Road,468,9,Yes,Delayed
O12508,2023-11-27,WH-007,P97090,Toys,17,71.49,1215.33,Road,494,2,No,On-Time
O12509,2023-09-04,WH-007,P10664,Furniture,23,358.74,8251.02,Road,1953,1,No,Delayed
O12510,2023-07-05,WH-004,P52646,Toys,7,52.01,364.07,Road,1057,9,Yes,Cancelled
O12511,2023-11-07,WH-001,P64931,Furniture,50,453.46,22673.0,Road,267,6,No,On-Time
O12512,2023-06-16,WH-007,P14784,Furniture,27,301.07,8128.889999999999,Rail,948,9,No,Delayed
O12513,2023-04-30,WH-006,P19160,Electronics,5,452.11,2260.55,Air,1744,15,No,Delayed
O12514,2023-01-22,WH-001,P62540,Groceries,14,402.29,5632.06,Air,1761,4,No,Delayed
O12515,2023-03-21,WH-003,P21249,Electronics,1,45.43,45.43,Air,1045,5,Yes,Cancelled
O12516,2023-02-10,WH-009,P34389,Groceries,48,205.24,9851.52,Road,343,5,Yes,Delayed
O12517,2023-05-01,WH-010,P79858,Groceries,9,30.4,273.59999999999997,Rail,1822,10,Yes,On-Time
O12518,2023-07-09,WH-010,P37092,Groceries,5,383.99,1919.95,Air,1901,3,Yes,Cancelled
O12519,2023-09-10,WH-005,P62626,Toys,29,240.94,6987.26,Air,1722,11,No,On-Time
O12520,2023-11-17,WH-005,P97666,Toys,11,107.15,1178.65,Rail,480,13,No,Delayed
O12521,2023-11-02,WH-006,P29711,Furniture,29,352.89,10233.81,Road,1357,1,No,Cancelled
O12522,2023-11-06,WH-009,P56966,Automotive,27,449.35,12132.45,Air,1026,12,No,On-Time
O12523,2023-09-07,WH-009,P50520,Furniture,4,312.27,1249.08,Air,1111,7,Yes,On-Time
O12524,2023-07-28,WH-004,P12564,Apparel,47,172.56,8110.32,Rail,248,15,No,On-Time
O12525,2023-11-27,WH-007,P78291,Furniture,20,270.59,5411.799999999999,Road,320,2,No,Delayed
O12526,2023-07-09,WH-005,P90429,Automotive,37,159.16,5888.92,Rail,1055,7,No,On-Time
O12527,2023-05-31,WH-007,P76777,Automotive,1,393.95,393.95,Rail,1683,4,Yes,Delayed
O12528,2023-03-12,WH-007,P57491,Groceries,11,249.11,2740.21,Air,1763,9,No,Delayed
O12529,2023-08-02,WH-008,P79920,Automotive,16,481.63,7706.08,Sea,957,1,No,Cancelled
O12530,2023-03-20,WH-003,P99210,Electronics,3,252.1,756.3,Rail,259,8,No,Delayed
O12531,2023-07-08,WH-010,P60714,Automotive,30,133.25,3997.5,Air,1268,11,Yes,Delayed
O12532,2023-05-10,WH-002,P94637,Apparel,37,146.62,5424.9400000000005,Rail,1067,9,No,Cancelled
O12533,2023-01-17,WH-006,P89745,Toys,47,423.18,19889.46,Sea,190,6,Yes,Cancelled
O12534,2023-03-26,WH-005,P98746,Electronics,33,409.51,13513.83,Road,1206,4,Yes,On-Time
O12535,2023-02-12,WH-003,P30780,Electronics,33,87.11,2874.63,Road,1406,4,Yes,Cancelled
O12536,2023-08-12,WH-002,P47205,Apparel,38,253.83,9645.54,Air,411,14,Yes,Cancelled
O12537,2023-07-14,WH-001,P32610,Furniture,32,296.2,9478.4,Air,554,7,No,On-Time
O12538,2023-12-14,WH-005,P73192,Groceries,21,499.35,10486.35,Rail,725,3,No,Cancelled
O12539,2023-12-05,WH-004,P60226,Furniture,10,192.78,1927.8,Rail,1466,4,Yes,Cancelled
O12540,2023-10-06,WH-001,P20851,Toys,21,214.76,4509.96,Air,732,3,Yes,Delayed
O12541,2023-06-01,WH-001,P79853,Toys,36,421.71,15181.56,Sea,1812,4,No,On-Time
O12542,2023-03-04,WH-003,P91200,Electronics,18,261.5,4707.0,Sea,1322,7,Yes,On-Time
O12543,2023-07-10,WH-004,P20171,Electronics,14,352.98,4941.72,Rail,884,12,Yes,On-Time
O12544,2023-07-23,WH-007,P32226,Automotive,43,362.51,15587.93,Rail,1226,9,No,On-Time
O12545,2023-03-25,WH-008,P33497,Electronics,28,288.81,8086.68,Road,947,4,Yes,On-Time
O12546,2023-08-06,WH-002,P87670,Furniture,12,253.1,3037.2,Road,739,11,Yes,Delayed
O12547,2023-02-18,WH-010,P35426,Furniture,23,442.3,10172.9,Air,518,7,Yes,On-Time
O12548,2023-02-15,WH-008,P10614,Furniture,27,49.85,1345.95,Sea,1532,7,No,On-Time
O12549,2023-03-21,WH-004,P67413,Electronics,31,261.89,8118.589999999999,Sea,1487,15,No,On-Time
O12550,2023-06-21,WH-002,P48514,Electronics,48,256.83,12327.84,Road,1659,4,Yes,Delayed
O12551,2023-08-05,WH-001,P69623,Electronics,7,120.45,843.15,Air,303,7,Yes,Delayed
O12552,2023-06-30,WH-005,P66731,Automotive,13,232.27,3019.51,Rail,1280,3,Yes,On-Time
O12553,2023-01-22,WH-004,P35313,Electronics,45,38.88,1749.6000000000001,Rail,885,13,Yes,Cancelled
O12554,2023-03-18,WH-009,P29163,Electronics,50,405.55,20277.5,Rail,1762,4,Yes,Delayed
O12555,2023-01-03,WH-007,P15088,Toys,26,218.39,5678.139999999999,Air,1435,1,No,Cancelled
O12556,2023-05-19,WH-004,P45176,Groceries,21,414.81,8711.01,Rail,1788,3,No,Cancelled
O12557,2023-11-15,WH-008,P99396,Automotive,16,485.41,7766.56,Air,1809,10,Yes,Delayed
O12558,2023-02-04,WH-005,P43116,Apparel,9,126.12,1135.08,Sea,1951,10,No,Delayed
O12559,2023-09-20,WH-008,P49123,Electronics,33,80.23,2647.59,Road,119,10,No,Cancelled
O12560,2023-02-06,WH-009,P57984,Apparel,29,183.82,5330.78,Rail,1875,10,Yes,Cancelled
O12561,2023-12-20,WH-008,P28320,Apparel,48,399.93,19196.64,Air,1820,8,Yes,On-Time
O12562,2023-05-08,WH-007,P42511,Groceries,15,384.68,5770.2,Sea,1642,2,No,Delayed
O12563,2023-04-26,WH-002,P78996,Electronics,20,38.65,773.0,Sea,1476,1,Yes,Cancelled
O12564,2023-09-15,WH-007,P99788,Apparel,32,400.71,12822.72,Road,933,3,Yes,Cancelled
O12565,2023-05-23,WH-008,P78424,Automotive,20,59.23,1184.6,Road,1398,11,Yes,Cancelled
O12566,2023-07-27,WH-006,P37168,Furniture,39,180.09,7023.51,Air,1273,9,Yes,On-Time
O12567,2023-10-07,WH-010,P58888,Toys,5,458.07,2290.35,Rail,1799,11,Yes,On-Time
O12568,2023-09-26,WH-002,P74371,Groceries,15,32.72,490.79999999999995,Sea,1845,10,Yes,Cancelled
O12569,2023-02-17,WH-006,P21572,Apparel,4,167.0,668.0,Road,155,1,No,Delayed
O12570,2023-01-26,WH-003,P15490,Apparel,11,415.13,4566.43,Rail,1782,2,Yes,Delayed
O12571,2023-04-29,WH-001,P19655,Furniture,43,396.85,17064.55,Rail,1919,1,No,Cancelled
O12572,2023-10-20,WH-004,P64734,Electronics,27,428.54,11570.58,Air,1585,6,No,On-Time
O12573,2023-09-03,WH-003,P59918,Automotive,48,459.79,22069.920000000002,Rail,225,4,No,Cancelled
O12574,2023-05-26,WH-009,P71293,Groceries,26,150.74,3919.2400000000002,Air,781,5,No,Cancelled
O12575,2023-12-31,WH-010,P56942,Toys,44,131.43,5782.92,Air,1532,13,No,On-Time
O12576,2023-05-18,WH-010,P93337,Furniture,41,235.5,9655.5,Air,1044,10,Yes,Delayed
O12577,2023-08-29,WH-002,P29630,Groceries,6,105.29,631.74,Air,393,14,No,Cancelled
O12578,2023-04-01,WH-006,P99974,Apparel,8,81.15,649.2,Air,1249,4,Yes,Delayed
O12579,2023-02-18,WH-003,P29574,Groceries,27,218.76,5906.5199999999995,Air,1707,13,Yes,Delayed
O12580,2023-07-13,WH-003,P25164,Automotive,28,176.94,4954.32,Rail,1916,14,Yes,Cancelled
O12581,2023-09-10,WH-007,P65752,Automotive,49,484.05,23718.45,Sea,1217,11,No,Delayed
O12582,2023-10-31,WH-004,P45752,Furniture,31,405.59,12573.289999999999,Air,496,11,No,On-Time
O12583,2023-06-05,WH-004,P91931,Groceries,44,153.16,6739.04,Sea,1579,15,Yes,Delayed
O12584,2023-09-05,WH-003,P86718,Electronics,7,36.28,253.96,Rail,963,12,No,Cancelled
O12585,2023-12-17,WH-005,P25977,Automotive,7,76.02,532.14,Road,782,12,Yes,Cancelled
O12586,2023-12-05,WH-007,P20780,Electronics,46,270.88,12460.48,Sea,1934,2,Yes,Cancelled
O12587,2023-08-19,WH-005,P29138,Automotive,6,41.47,248.82,Sea,1541,10,Yes,Delayed
O12588,2023-04-23,WH-004,P43229,Automotive,22,170.13,3742.8599999999997,Sea,850,3,No,Delayed
O12589,2023-05-17,WH-008,P71605,Furniture,12,79.19,950.28,Rail,1604,10,Yes,On-Time
O12590,2023-12-18,WH-005,P52559,Toys,36,273.54,9847.44,Rail,1263,14,No,Delayed
O12591,2023-07-01,WH-005,P72110,Apparel,41,298.76,12249.16,Road,1844,3,Yes,On-Time
O12592,2023-09-09,WH-010,P12979,Furniture,36,76.93,2769.4800000000005,Rail,694,10,No,On-Time
O12593,2023-11-18,WH-010,P74790,Automotive,29,381.29,11057.41,Sea,939,11,Yes,Cancelled
O12594,2023-01-09,WH-005,P29699,Apparel,9,407.42,3666.78,Road,1968,14,Yes,On-Time
O12595,2023-01-05,WH-003,P82216,Electronics,8,307.73,2461.84,Air,872,10,No,Delayed
O12596,2023-03-06,WH-007,P50482,Groceries,28,256.05,7169.400000000001,Road,1689,8,No,Cancelled
O12597,2023-03-15,WH-007,P81990,Apparel,35,396.47,13876.45,Air,691,6,No,Cancelled
O12598,2023-03-25,WH-002,P10763,Furniture,11,45.77,503.47,Road,656,6,Yes,Cancelled
O12599,2023-11-20,WH-009,P95156,Groceries,1,321.1,321.1,Rail,1223,2,No,Cancelled
O12600,2023-11-19,WH-002,P55173,Apparel,1,499.14,499.14,Rail,1224,1,Yes,On-Time
O12601,2023-03-16,WH-010,P27527,Furniture,18,31.68,570.24,Road,1030,9,Yes,On-Time
O12602,2023-10-04,WH-003,P67260,Apparel,24,318.75,7650.0,Rail,1586,7,Yes,Delayed
O12603,2023-07-28,WH-002,P56053,Toys,13,405.87,5276.31,Rail,1159,2,No,Cancelled
O12604,2023-10-08,WH-002,P11497,Furniture,42,393.7,16535.399999999998,Air,574,6,No,Cancelled
O12605,2023-02-27,WH-001,P24221,Electronics,45,471.24,21205.8,Air,1494,12,Yes,On-Time
O12606,2023-08-08,WH-002,P98473,Automotive,19,7.87,149.53,Road,1917,4,Yes,Cancelled
O12607,2023-07-31,WH-005,P40772,Furniture,13,499.97,6499.610000000001,Sea,615,1,No,On-Time
O12608,2023-03-29,WH-008,P20288,Automotive,2,231.79,463.58,Road,591,14,No,Delayed
O12609,2023-10-29,WH-003,P72274,Automotive,24,144.34,3464.16,Rail,1888,15,No,Cancelled
O12610,2023-02-18,WH-001,P66069,Electronics,7,39.87,279.09,Sea,1911,4,No,On-Time
O12611,2023-01-30,WH-009,P61085,Electronics,45,423.02,19035.899999999998,Air,1324,13,No,Cancelled
O12612,2023-03-01,WH-010,P66305,Groceries,23,281.19,6467.37,Road,1314,3,No,Cancelled
O12613,2023-03-03,WH-007,P10335,Automotive,14,229.23,3209.22,Rail,436,3,Yes,On-Time
O12614,2023-02-20,WH-007,P74365,Furniture,31,228.89,7095.589999999999,Road,970,4,No,On-Time
O12615,2023-08-24,WH-001,P26373,Groceries,32,244.03,7808.96,Road,1468,3,Yes,Cancelled
O12616,2023-07-20,WH-001,P32789,Electronics,5,120.68,603.4000000000001,Sea,1137,9,No,Cancelled
O12617,2023-04-22,WH-006,P85965,Furniture,15,337.7,5065.5,Road,480,13,Yes,On-Time
O12618,2023-02-22,WH-002,P17721,Groceries,24,354.14,8499.36,Road,98,10,No,Cancelled
O12619,2023-03-12,WH-005,P99294,Groceries,16,182.42,2918.72,Road,1902,13,Yes,On-Time
O12620,2023-06-23,WH-006,P37003,Furniture,36,389.0,14004.0,Air,970,4,Yes,Cancelled
O12621,2023-10-02,WH-001,P48948,Furniture,9,48.74,438.66,Rail,1001,9,No,Cancelled
O12622,2023-08-06,WH-007,P91435,Furniture,48,100.04,4801.92,Road,941,15,Yes,Delayed
